model,seed,case_type,images,precision,recall,map50,map50_95,tp_conf025_iou05,fp_conf025_iou05,fn_conf025_iou05,annotation_status
eca,42,structural_clutter,13,0.9943371448465512,1.0,0.995,0.7330171607142857,13,1,0,AI_single_reviewer_non_blind_initial_labels
eca,42,reflection,23,0.9968876761416238,1.0,0.995,0.7652667614880093,23,0,0,AI_single_reviewer_non_blind_initial_labels
eca,42,mixed,20,0.9954704058147641,1.0,0.995,0.6969422660586898,23,2,0,AI_single_reviewer_non_blind_initial_labels
eca,42,hole,65,0.9080545026096357,0.8346333713505572,0.923838435043443,0.377909853119606,48,1,23,AI_single_reviewer_non_blind_initial_labels
eca,42,normal,15,0.9798988952331661,0.8666666666666667,0.970015479876161,0.761378991733823,12,0,3,AI_single_reviewer_non_blind_initial_labels
eca,42,circular_plate,10,0.9963770599387398,1.0,0.995,0.7922258838383838,10,0,0,AI_single_reviewer_non_blind_initial_labels
var,42,structural_clutter,13,0.9952280453831712,1.0,0.995,0.7607366598124099,13,0,0,AI_single_reviewer_non_blind_initial_labels
var,42,reflection,23,0.99736324604709,0.9565217391304348,0.9867241379310345,0.7410923495955113,22,0,1,AI_single_reviewer_non_blind_initial_labels
var,42,mixed,20,0.997421369893135,1.0,0.995,0.7239146193848421,23,0,0,AI_single_reviewer_non_blind_initial_labels
var,42,hole,65,0.8941891989552972,0.7142063921720861,0.8741955536146475,0.4059570395640456,37,0,34,AI_single_reviewer_non_blind_initial_labels
var,42,normal,15,0.9944721188961698,0.9333333333333333,0.9849999999999999,0.7762246555683123,14,0,1,AI_single_reviewer_non_blind_initial_labels
var,42,circular_plate,10,0.9793447373605721,1.0,0.995,0.7604221877156659,10,1,0,AI_single_reviewer_non_blind_initial_labels
rec,42,structural_clutter,13,0.9946137785551984,1.0,0.995,0.7645706900615983,13,0,0,AI_single_reviewer_non_blind_initial_labels
rec,42,reflection,23,0.9978166447069206,1.0,0.995,0.742672642496843,23,0,0,AI_single_reviewer_non_blind_initial_labels
rec,42,mixed,20,0.9969890808767928,1.0,0.995,0.7165681291890079,23,0,0,AI_single_reviewer_non_blind_initial_labels
rec,42,hole,65,0.9285077629024364,0.7183098591549296,0.932084973888019,0.4252766285466564,32,0,39,AI_single_reviewer_non_blind_initial_labels
rec,42,normal,15,1.0,0.6862009292121465,0.8864777250613164,0.6845358727076492,8,0,7,AI_single_reviewer_non_blind_initial_labels
rec,42,circular_plate,10,0.9908271571222932,1.0,0.995,0.7912111742424243,10,0,0,AI_single_reviewer_non_blind_initial_labels
bri,42,structural_clutter,13,1.0,0.8299937141043824,0.995,0.6301535681768231,8,0,5,AI_single_reviewer_non_blind_initial_labels
bri,42,reflection,23,1.0,0.9504525514999271,0.95589407191448,0.7090459343434952,20,0,3,AI_single_reviewer_non_blind_initial_labels
bri,42,mixed,20,0.8836615407632142,0.9910145144360759,0.9847785547785548,0.6436049257059607,17,0,6,AI_single_reviewer_non_blind_initial_labels
bri,42,hole,65,0.9728847147949778,0.5053864803790205,0.7716538467488874,0.35889350348015786,22,0,49,AI_single_reviewer_non_blind_initial_labels
